City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
severo-yeniseyskiy,60.37,93.04,9.57,93,79,8.21
maple creek,49.92,-109.48,2.23,69,100,1.81
vostok,46.49,135.88,-9.56,98,100,4.59
quimper,48,-4.1,51.71,93,75,10.29
waitati,-45.75,170.57,61.48,74,0,18.01
sibu,2.3,111.82,77,94,75,2.24
dunedin,-45.87,170.5,61.56,63,0,10.56
port hedland,-20.32,118.57,86,74,73,13.87
nazare,-13.04,-39.01,79.11,69,0,4.83
boa vista,2.82,-60.67,82.4,74,75,4.7
samusu,,,,,,
kuito,-12.38,16.93,61.45,93,98,5.26
labuan,5.28,115.24,78.6,88,75,3.36
tocopilla,-22.09,-70.2,74.7,25,100,9.71
mabaruma,8.2,-59.78,79.97,93,34,2.28
ostrovnoy,68.05,39.51,9.39,98,97,6.4
wyndham,37.7,-77.61,56.1,17,1,8.05
khorinsk,52.17,109.77,-8.66,95,34,1.92
khasan,42.43,130.64,7.52,80,0,6.62
sucua,-2.47,-78.17,77,61,40,10.29
karpogory,64,44.45,8.89,92,1,2.75
itoman,26.12,127.67,66.72,88,40,12.75
soe,-9.86,124.28,76.78,88,89,3.78
skjervoy,70.03,20.97,28.4,74,75,11.41
porirua,-41.13,174.85,61.74,82,5,10.29
lasem,-6.69,111.45,80.91,81,48,13.38
pontal do parana,-25.65,-48.51,71.37,100,90,10.29
bumba,2.18,22.47,78.37,38,68,2.77
karasjok,69.47,25.51,21.2,92,75,14.99
riyadh,24.69,46.72,51.8,57,10,4.7
lesozavodsk,45.48,133.42,-10.28,95,62,7.94
ancud,-41.87,-73.82,59,58,0,11.41
ust-kamchatsk,,,,,,
pringsewu,-5.36,104.97,72.19,95,100,1.72
newport,51.59,-3,49.26,87,40,10.29
biak,-0.91,122.88,81.75,75,100,5.64
faanui,-16.48,-151.75,81.59,80,4,17.54
ornskoldsvik,63.29,18.72,19.9,79,0,5.82
ust-kuyga,70.02,135.6,-23.44,97,100,6.91
comodoro rivadavia,-45.87,-67.5,69.8,28,20,19.46
carutapera,-1.2,-46.02,82.58,78,51,13.09
traverse city,44.76,-85.62,21.74,62,90,14.99
dzhusaly,,,,,,
meaux,48.92,3,49.87,66,71,14.99
mao,39.89,4.27,51.8,93,40,5.82
jinan,36.67,117,30,81,51,1.01
ulaanbaatar,47.91,106.88,-16.6,75,13,0.58
yar-sale,66.83,70.83,10.69,92,100,20.69
camapua,-19.53,-54.04,85.89,73,98,4.05
coahuayana,18.73,-103.68,84.2,51,40,5.86
shenzhen,22.55,114.07,61.52,77,75,13.42
christchurch,-43.53,172.63,61.75,67,40,16.11
homer,59.64,-151.55,12.85,61,1,6.93
boquira,-12.82,-42.73,85.19,43,49,2.86
winneba,5.35,-0.62,84.2,83,20,12.75
los llanos de aridane,28.66,-17.92,62.6,59,21,8.05
liwale,-9.77,37.93,71.4,97,100,3.4
abbeville,50.1,1.83,48.74,71,98,11.41
hithadhoo,-0.6,73.08,81.57,77,3,15.52
alytus,54.4,24.05,42.8,70,90,11.41
kavieng,-2.57,150.8,84.38,75,84,23.69
nizhniy chir,48.36,43.09,28.56,92,28,8.52
gorontalo,0.54,123.06,74.21,94,50,3.62
antofagasta,-23.65,-70.4,71.78,60,77,11.41
san jose,37.34,-121.89,43.59,87,90,13.87
sulangan,11.14,123.72,81.12,79,35,12.08
marzuq,14.4,46.47,47.08,21,0,3.67
lata,40.16,-8.33,51.46,93,20,4.7
miandrivazo,-19.52,45.47,76.75,89,100,5.39
samana,19.21,-69.34,82.4,78,75,6.93
mananjary,-21.22,48.33,77.09,91,100,10.09
bardiyah,31.76,25.09,60.35,73,90,18.97
loandjili,-4.76,11.86,78.8,88,20,1.12
goundam,16.41,-3.67,68.14,13,100,12.64
gamba,-2.65,10,79.2,87,98,2.77
chittaurgarh,24.88,74.63,50.27,86,0,6.64
pangnirtung,66.15,-65.71,-18.4,61,75,4.7
chastyye,57.29,54.97,37.11,97,100,16.89
juneau,58.3,-134.42,18.57,34,90,6.93
vanimo,-2.67,141.3,82.04,81,88,23.4
vao,-22.67,167.48,77.07,83,5,18.92
altamont,42.21,-121.74,32.07,92,90,11.41
broome,42.25,-75.83,29.41,74,90,17.22
atambua,-9.11,124.89,75.24,90,61,2.53
darovskoy,58.77,47.96,33.42,98,100,8.3
puerto del rosario,28.5,-13.86,60.01,59,66,6.93
lazaro cardenas,17.96,-102.2,86.22,53,2,8.5
lafiagi,8.87,5.42,81.54,16,17,3.8
lucapa,-8.42,20.74,67.37,93,62,2.64
victoria,22.29,114.16,61.57,82,40,20.8
henties bay,-22.12,14.28,68.09,79,83,3.8
kamenskoye,,,,,,
fuling,29.7,107.39,37.81,88,72,3.91
tura,25.52,90.22,61.11,77,0,2.21
fevralsk,,,,,,
namatanai,-3.67,152.43,83.66,74,100,7.87
ambodifototra,,,,,,
kamien pomorski,53.97,14.77,37.56,86,25,8.05
noumea,-22.28,166.46,80.31,65,0,4.7
barbar,,,,,,
lynchburg,37.41,-79.14,53.87,17,1,11.41
flinders,-34.58,150.86,64.4,100,75,5.82
ushtobe,45.25,77.98,9.75,79,0,3.76
hurghada,27.26,33.81,66.2,51,0,12.75
fort saint john,,,,,,
attawapiskat,,,,,,
fort frances,48.6,-93.4,-5.26,58,1,6.93
inhambane,-23.86,35.38,81.75,77,43,7.52
leningradskiy,69.38,178.42,20.26,80,100,6.35
aguimes,27.91,-15.45,60.6,55,77,4.7
kaoma,-14.78,24.8,66.83,95,100,0.98
ayan,56.45,138.17,-0.35,71,100,9.55
walvis bay,-22.96,14.51,68,82,8,11.41
nipawin,53.37,-104,-22,74,90,4.7
kargopol,61.51,38.95,32.34,97,100,5.35
bireun,5.2,96.7,66.78,93,8,1.34
marystown,47.17,-55.15,25.29,76,85,5.68
madang,-5.22,145.8,82.98,81,100,11.03
yantal,56.85,105.25,13.05,93,100,8.21
saint-pierre,-21.34,55.48,74.88,78,68,5.82
port hardy,50.7,-127.42,32,91,75,6.93
meyungs,,,,,,
port pirie,-33.18,138.02,62.6,63,40,11.41
kiruna,67.86,20.23,15.8,92,100,3.36
nea alikarnassos,35.33,25.17,54.59,67,75,20.8
margate,51.38,1.39,51.98,71,40,18.34
high prairie,55.43,-116.49,-17.1,93,100,6.29
hasaki,35.73,140.83,38.21,86,75,4.7
celestun,20.87,-90.4,75.67,77,0,24.18
lorengau,-2.02,147.27,83.75,75,75,23.94
byron bay,-28.65,153.62,73.33,94,75,6.93
souillac,-20.52,57.52,79.29,88,40,12.75
acapulco,16.86,-99.89,86,70,20,5.82
grand-lahou,5.14,-5.02,81.16,87,0,13.29
panguna,-6.32,155.48,71.56,96,97,2.24
rungata,,,,,,
chiang khong,20.26,100.4,57.69,100,0,2.46
half moon bay,37.46,-122.43,43.84,100,75,9.17
egvekinot,66.32,-179.17,14.29,96,100,7.31
zelenoborsk,61.47,64.03,32.63,95,97,12.77
chokurdakh,70.63,147.92,-19.05,97,100,8.05
yatou,37.15,122.38,32.77,58,100,10.87
saint-joseph,-21.37,55.62,74.82,78,68,5.82
sao miguel do araguaia,-13.28,-50.16,86.58,71,56,2.57
bandarbeyla,9.49,50.81,74.48,67,67,26.82
iracoubo,5.48,-53.2,79.79,84,80,15.28
labuhan,-6.88,112.21,74.21,91,33,5.01
rivadavia,-33.19,-68.46,80.6,24,1,8.05
uige,-7.61,15.06,68.88,95,100,1.63
kaman,27.65,77.27,54.93,93,97,3.91
tual,-5.67,132.75,83.46,79,59,10.29
huesca,42.14,-0.41,41.9,93,21,2.24
rundu,-17.93,19.77,77,69,33,1.12
diffa,13.32,12.61,65.75,22,0,10.6
portland,45.52,-122.68,39.25,80,90,4.7
faya,18.39,42.45,52.63,66,0,2.17
gazojak,41.19,61.4,29.91,74,0,6.35
xixiang,35.16,112.86,30.11,85,0,5.35
alakurtti,66.97,30.35,12.99,91,100,2.77
galgani,,,,,,
aklavik,68.22,-135.01,-16.37,75,40,3.36
kaeo,-35.1,173.78,69.53,64,4,5.01
jiaonan,35.88,119.98,31.48,92,100,4.47
sao paulo de olivenca,-3.38,-68.87,83.55,89,43,2.21
emerald,-23.53,148.17,67.55,100,40,14.99
salalah,17.02,54.09,68,42,0,12.75
razdolinsk,58.42,94.67,15.21,95,100,8.19
qax,41.42,46.92,33.8,100,90,4.5
sarany,58.5,58.88,31.26,96,93,13.4
baykit,61.67,96.37,4.19,97,100,3.71
lavumisa,-27.31,31.89,80.6,74,9,3.36
verishen,39.54,46.31,25.25,93,100,1.68
parainen,60.3,22.3,38.41,86,0,10.29
kudahuvadhoo,2.67,72.89,81.16,76,2,14.09
ust-kut,56.79,105.77,11.75,95,100,5.68
myaundzha,63.05,147.19,-19.46,97,100,3.33
forest acres,34.02,-80.99,69.15,25,1,12.75
stornoway,58.21,-6.39,46.22,81,88,28.86
fort nelson,58.81,-122.7,-31,66,75,2.24
hambantota,6.12,81.12,77.95,87,0,11.7
sidi ali,36.1,0.42,47.14,65,0,0.98
cayenne,4.93,-52.33,80.6,83,42,10.29
buala,-8.14,159.59,81.34,80,100,10.69
innisfail,-17.53,146.03,77,79,34,3
lompoc,34.64,-120.46,54.95,66,90,20.8
la primavera,5.49,-70.41,89.02,50,60,9.08
constantine,36.37,6.61,35.6,80,53,3.36
isangel,-19.55,169.27,82.4,74,20,13.87
chapais,49.78,-74.85,-9.4,76,20,9.17
yangambi,0.81,24.43,78.04,45,54,2.82
lachhmangarh,27.82,75.03,47.55,55,0,2.33
prince rupert,54.32,-130.32,17.6,57,75,10.29
lolua,,,,,,
benjamin constant,-4.38,-70.03,79.68,88,75,2.24
rawannawi,,,,,,
aksay,47.26,39.87,32,88,75,4.47
don matias,6.49,-75.39,77.25,46,40,11.41
iskateley,67.68,53.15,9.84,84,23,12.15
dutlwe,-23.98,23.9,78.64,31,0,8.84
mattru,7.62,-11.83,77.52,80,85,4.5
amurzet,47.7,131.1,-5.62,88,0,9.31
kangaatsiaq,68.31,-53.46,5.43,70,100,7.16
suez,29.97,32.53,57.27,52,0,6.53
lethem,3.38,-59.8,93.69,37,14,15.99
bull savanna,17.89,-77.59,79.97,65,32,10.13
svetlaya,46.54,138.33,10.81,65,1,9.48
miami,25.77,-80.19,79.27,51,20,11.41
gurgan,,,,,,
akhaldaba,41.65,42.15,39.88,80,0,6.93
banjar,-8.19,114.97,78.8,100,40,1.12
onguday,50.75,86.15,-6.38,97,83,10.94
ulladulla,-35.35,150.47,63.27,100,75,5.82
korla,41.76,86.15,13.87,83,100,5.48
katsuura,35.13,140.3,43.23,56,75,11.41
najran,17.49,44.13,50,66,0,1.19
acopiara,-6.1,-39.45,80.51,62,100,3.96
arkhara,49.42,130.08,-14.78,100,100,1.95
zhuhai,22.28,113.57,60.71,82,20,17.22
la ronge,55.1,-105.28,-22,67,90,3.13
flin flon,54.77,-101.86,-18.4,68,90,2.24
sandwick,60,-1.25,45.57,87,100,25.28
grand river south east,,,,,,
vila franca do campo,37.72,-25.43,57.2,82,75,8.05
touros,-5.2,-35.46,82.4,69,40,10.29
quatre cocos,-20.21,57.76,79.34,88,40,12.75
sioux lookout,50.1,-91.92,-7.6,63,20,8.05
kuche,,,,,,
honiara,-9.43,159.95,78.8,88,75,2.24
oktyabrskiy,54.48,53.47,34.81,97,100,17.9
santo amaro da imperatriz,-27.69,-48.78,65.79,64,75,18.34
komsomolskiy,40.43,71.72,28.4,86,100,2.24
anadyr,64.75,177.48,30.11,100,90,35.79
mehamn,71.04,27.85,22.01,79,75,4.7
ovalle,-30.6,-71.2,83.55,29,83,9.35
urusha,54.05,122.9,-18.2,94,0,2.28
quthing,-30.4,27.7,68.67,30,0,5.82
dingle,11,122.67,75.2,87,100,7.49
anloga,5.79,0.9,82.4,88,4,9.17
diamantino,-14.41,-56.45,83.59,80,99,4.52
mosquera,4.71,-74.23,60.8,67,75,9.17
ca mau,9.18,105.15,72.99,92,70,2.95
haimen,23.19,116.61,59,67,75,6.71
ploemeur,47.73,-3.43,51.91,93,75,14.99
doctor pedro p. pena,,,,,,
jumla,29.27,82.18,29.48,98,100,2.98
luderitz,-26.65,15.16,69.8,83,57,13.87
port augusta,-32.5,137.77,59.61,63,40,11.41
boke,10.94,-14.3,72.03,77,50,4.07
avera,33.19,-82.53,73.83,44,1,8.05
mitsamiouli,-11.38,43.28,82.22,80,44,17.27
north platte,41.12,-100.77,24.93,49,1,18.34
wilmington,34.23,-77.94,68.7,45,1,12.75
nisia floresta,-6.09,-35.21,82.4,74,40,17.22
gympie,-26.19,152.66,74.05,88,99,1.7
darnah,32.77,22.64,58.33,69,100,23.4
launceston,-41.45,147.17,52.29,61,0,14.99
talaya,61.38,152.75,-19.19,98,100,3.78
saskatoon,52.12,-106.63,-13.27,68,90,16.11
namibe,-15.2,12.15,75.33,84,81,9.57
sorland,67.67,12.69,35.6,93,75,12.75
saint george,37.1,-113.58,54.66,34,1,8.19
kruisfontein,-34,24.73,73.31,84,90,13.29
dinklage,52.65,8.12,43.81,87,38,9.17
intipuca,13.2,-88.05,91.42,49,20,13.87
kieta,-6.22,155.63,80.06,78,100,6.82
omsukchan,62.53,155.8,-22.07,97,94,4.85
veshenskaya,49.63,41.73,25.11,90,100,10.42
santo tomas,14.11,121.14,77.36,74,20,2.24
ucluelet,48.93,-125.55,35.24,69,75,3.36
santa cruz,-17.8,-63.17,89.53,58,75,12.75
dalhousie,32.53,75.98,41.68,73,100,1.57
pullman,46.73,-117.18,37.81,64,90,5.82
george,-33.96,22.46,73.4,94,82,4.7
ye,,,,,,
vangaindrano,-23.35,47.6,71.06,98,100,1.3
rodino,52.5,80.25,8.28,85,15,21.68
maryborough,-25.53,152.7,75.36,76,94,2.24
viligili,,,,,,
guhagar,17.48,73.19,71.71,64,0,14.29
richards bay,-28.78,32.04,79.52,82,6,12.57
mancio lima,-7.61,-72.9,87.8,66,40,0.49
bonavista,48.65,-53.11,18,79,10,5.01
chara,56.91,118.26,-10.93,74,72,0.31
teruel,40.67,-0.67,42.28,80,4,8.05
lashio,22.93,97.75,51.66,81,0,1.92
tairua,-37.02,175.85,69.98,58,10,8.01
sabang,5.89,95.32,81.43,76,100,14.5
la orilla,17.98,-102.23,86.22,53,2,8.5
torres,-29.34,-49.73,72.32,60,67,23.98
nyurba,63.28,118.33,-13.2,97,52,4.27
santa maria,-29.68,-53.81,77,53,100,9.17
polazna,58.29,56.41,33.8,100,90,13.42
elliot,-31.33,27.85,66.65,52,0,5.53
katherine,-14.47,132.27,77,78,40,4.7
dongsheng,39.82,109.98,11.66,95,100,7.67
loanda,-8.84,13.23,82.4,78,20,5.82
kakonko,-3.28,30.96,65.77,94,100,1.43
tawkar,,,,,,
palu,-0.89,119.87,70.27,98,100,0.81
tarauaca,-8.16,-70.77,91.51,46,40,1.43
naugarzan,,,,,,
kahului,20.89,-156.47,75.45,69,40,8.05
chiredzi,-21.05,31.67,74.75,82,99,2.71
plainview,40.78,-73.47,41.23,48,75,18.34
